Id,Superficie_mq,Piano,NumeroBagni,AnnoCostruzione,Quartiere,TipoRiscaldamento,Giardino,Ascensore,Prezzo
367,97.8,0,2,1975.0,Periferia Sud,Centralizzato,No,No,200392.0
368,90.4,0,1,2021.0,Periferia Nord,Centralizzato,No,No,180488.0
369,93.4,5,3,1997.0,Zona Universitaria,Pompa di calore,Si,No,168668.0
370,62.9,1,2,2015.0,Zona Universitaria,Autonomo,No,Si,173127.0
371,90.9,4,3,2019.0,Periferia Sud,Pompa di calore,No,No,203624.0
372,107.4,0,1,1977.0,Periferia Sud,Pompa di calore,No,No,216866.0
373,,6,3,1975.0,Periferia Nord,Autonomo,Si,No,293401.0
374,123.6,0,1,1974.0,Periferia Sud,Centralizzato,Si,Si,235138.0
375,165.4,3,2,1961.0,Periferia Sud,Centralizzato,Si,No,302699.0
376,63.1,8,2,1954.0,Zona Universitaria,Autonomo,No,Si,131946.0
377,120.5,0,2,1997.0,Zona Universitaria,Autonomo,No,No,245702.0
378,96.4,3,3,1986.0,Zona Universitaria,Autonomo,Si,No,195288.0
379,166.6,5,2,1993.0,Centro,Autonomo,No,No,360888.0
380,61.7,5,3,1964.0,Zona Universitaria,Pompa di calore,No,No,100458.0
381,60.6,7,1,1992.0,Zona Universitaria,Autonomo,Si,No,133924.0
382,69.0,0,1,1997.0,Periferia Sud,Pompa di calore,No,No,144570.0
383,15.7,6,2,2019.0,Zona Universitaria,Centralizzato,No,Si,68475.0
384,71.6,0,1,1995.0,Zona Universitaria,Pompa di calore,No,No,169392.0
385,63.4,6,1,1992.0,Periferia Nord,Centralizzato,No,No,122864.0
386,95.3,2,2,1970.0,Periferia Sud,Autonomo,Si,No,189680.0
387,102.0,7,3,1972.0,Centro,Centralizzato,No,Si,229626.0
388,1557.0,2,1,1996.0,Periferia Nord,Autonomo,No,No,302589.0
389,123.3,0,2,1964.0,Periferia Sud,Centralizzato,No,No,223729.0
390,69.8,7,1,1974.0,Zona Universitaria,Pompa di calore,No,Si,141144.0
391,58.6,2,3,1985.0,Centro,Autonomo,No,No,122472.0
392,107.2,1,3,2000.0,Centro,Autonomo,No,Si,247744.0
393,43.8,0,2,1964.0,Periferia Sud,Centralizzato,No,Si,80342.0
394,154.1,2,1,2017.0,Centro,Pompa di calore,No,Si,339011.0
395,131.3,1,3,1970.0,Centro,Centralizzato,No,Si,309354.0
396,73.6,1,2,1962.0,Centro,Autonomo,No,No,202205.0
397,30.0,5,1,1968.0,Centro,Centralizzato,Si,Si,111694.0
398,137.4,0,1,1983.0,Centro,Autonomo,Si,No,274889.0
399,86.0,1,1,2017.0,Periferia Nord,Centralizzato,Si,Si,162928.0
400,133.3,5,1,2001.0,Periferia Nord,,No,No,264924.0
